iter	Logloss
0	0.6366611416
1	0.579462601
2	0.5305828482
3	0.5000117027
4	0.4687629312
5	0.4503894095
6	0.4226088766
7	0.4057152958
8	0.3884530472
9	0.3720264112
10	0.3612620144
11	0.3509216309
12	0.3354513847
13	0.3289077242
14	0.3204130722
15	0.3105810456
16	0.3031967616
17	0.2910703562
18	0.2853945069
19	0.2789865267
20	0.2758279574
21	0.2653102875
22	0.2584311922
23	0.2506932404
24	0.2477027117
25	0.244466426
26	0.2410162586
27	0.233788458
28	0.2277901375
29	0.2241021334
30	0.2196337328
31	0.2135473025
32	0.2048985594
33	0.2026783086
34	0.1978465581
35	0.1935869476
36	0.1885798826
37	0.1843929937
38	0.1829088179
39	0.1778657558
40	0.17244103
41	0.171196194
42	0.1675424414
43	0.1669223268
44	0.1653690015
45	0.1606410398
46	0.1575656503
47	0.1570398201
48	0.1534761009
49	0.1516666089
50	0.1487006818
51	0.1452467644
52	0.1404351865
53	0.1400394763
54	0.1367761321
55	0.1349081427
56	0.1321587401
57	0.1278608532
58	0.1244856786
59	0.1212831433
60	0.1185659958
61	0.1149047593
62	0.1130820775
63	0.1096464577
64	0.1063670142
65	0.1060962515
66	0.1026606641
67	0.1002909693
68	0.1001278101
69	0.09985259428
70	0.09780585564
71	0.09730607372
72	0.09452393904
73	0.09162306381
74	0.09035428904
75	0.08839633909
76	0.08776652611
77	0.08582436028
78	0.08391407789
79	0.08212020033
80	0.08196760436
81	0.0803766089
82	0.07857949855
83	0.07737078909
84	0.07590352883
85	0.07472538544
86	0.07397762396
87	0.07181513512
