iter	Passed	Remaining
0	0	84
1	1	71
2	2	66
3	3	63
4	3	61
5	4	59
6	5	58
7	5	56
8	6	55
9	7	55
10	7	54
11	8	53
12	9	52
13	9	51
14	10	50
15	11	50
16	11	49
17	12	48
18	13	47
19	13	46
20	14	46
21	15	45
22	15	44
23	16	43
24	17	43
25	17	42
26	18	41
27	19	41
28	19	40
29	20	39
30	21	38
31	21	38
32	22	37
33	23	36
34	23	35
35	24	35
36	25	34
37	25	33
38	26	33
39	27	32
40	27	31
41	28	31
42	29	30
43	29	29
44	30	29
45	31	28
46	31	27
47	32	26
48	33	26
49	33	25
50	34	24
51	34	24
52	35	23
53	36	22
54	37	22
55	37	21
56	38	20
57	39	20
58	39	19
59	40	18
60	41	18
61	41	17
62	42	16
63	43	16
64	43	15
65	44	14
66	45	14
67	45	13
68	46	12
69	47	12
70	47	11
71	48	10
72	49	10
73	49	9
74	50	8
75	51	8
76	51	7
77	52	6
78	53	6
79	53	5
80	54	4
81	55	4
82	55	3
83	56	2
84	57	2
85	57	1
86	58	0
87	59	0
